admin_%{uuid}_PRODUCTION,
admin_ea0de110-8f94-4188-b7ce-eae54d989838_PRODUCTION,So GTVT
admin_3e2a38d1-a6af-4064-9fa7-33a5788b6cc2_PRODUCTION,So Y Te
admin_de6b05c7-e88e-4258-8013-2e44c68178eb_PRODUCTION,Vu Khoa Hoc Cong Nghe
admin_38cd8cae-4a2f-413f-b92d-cbbf7bab76c9_PRODUCTION,So Giao Duc va Dao Tao
admin_9c96e669-c028-48c1-a8f8-987ba77c3f3a_PRODUCTION,test
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_6d3963f9-ca25-4209-8731-d8b7e15b5501_PRODUCTION,VNPT
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_9c96e669-c028-48c1-a8f8-987ba77c3f3a_PRODUCTION,test
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_3e2a38d1-a6af-4064-9fa7-33a5788b6cc2_PRODUCTION,So Y Te
admin_de6b05c7-e88e-4258-8013-2e44c68178eb_PRODUCTION,Vu Khoa Hoc Cong Nghe
admin_38cd8cae-4a2f-413f-b92d-cbbf7bab76c9_PRODUCTION,So Giao Duc va Dao Tao
admin_6d3963f9-ca25-4209-8731-d8b7e15b5501_PRODUCTION,VNPT
admin_%{uuid}_PRODUCTION,
admin_ea0de110-8f94-4188-b7ce-eae54d989838_PRODUCTION,So GTVT
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_%{uuid}_PRODUCTION,
admin_3e2a38d1-a6af-4064-9fa7-33a5788b6cc2_PRODUCTION,So Y Te
admin_%{uuid}_PRODUCTION,
